timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758135780000,0.0928,0.0931,0.0913,25,0.0913,16180,0.092246,2025-09-17 19:03:00+00:00
1758135840000,0.0928,0.0929,0.0928,17,0.0929,39000,0.092824,2025-09-17 19:04:00+00:00
1758135900000,0.0935,0.0937,0.092,39,0.0928,36112,0.09273,2025-09-17 19:05:00+00:00
1758135960000,0.0934,0.0934,0.0929,32,0.0929,33164,0.093112,2025-09-17 19:06:00+00:00
1758136020000,0.0924,0.0926,0.092,48,0.0921,16900,0.092277,2025-09-17 19:07:00+00:00
1758136080000,0.0935,0.0935,0.0935,1,0.0935,1100,0.0935,2025-09-17 19:08:00+00:00
1758136140000,0.0938,0.0938,0.0925,13,0.0925,4835,0.092897,2025-09-17 19:09:00+00:00
1758136200000,0.0927,0.0945,0.0926,20,0.0945,11154,0.09346,2025-09-17 19:10:00+00:00
1758136260000,0.0929,0.0936,0.0929,5,0.0929,7762,0.093568,2025-09-17 19:11:00+00:00
1758136320000,0.0937,0.0937,0.0928,14,0.0928,8000,0.093093,2025-09-17 19:12:00+00:00
1758136380000,0.0933,0.0933,0.0927,23,0.0927,10500,0.092837,2025-09-17 19:13:00+00:00
1758136440000,0.0931,0.0931,0.0929,11,0.0929,1626,0.092925,2025-09-17 19:14:00+00:00
1758136500000,0.0935,0.0935,0.093,13,0.093,6027,0.093106,2025-09-17 19:15:00+00:00
1758136560000,0.093,0.0933,0.093,17,0.0933,7729,0.093188,2025-09-17 19:16:00+00:00
1758136620000,0.0931,0.0931,0.0931,4,0.0931,539,0.0931,2025-09-17 19:17:00+00:00
1758136680000,0.0932,0.0932,0.0931,10,0.0931,7000,0.093169,2025-09-17 19:18:00+00:00
1758136740000,0.0935,0.0939,0.0935,2,0.0939,1100,0.093864,2025-09-17 19:19:00+00:00
1758136800000,0.0937,0.0937,0.0933,8,0.0935,2438,0.093519,2025-09-17 19:20:00+00:00
1758136860000,0.0933,0.0934,0.0933,2,0.0934,1100,0.093309,2025-09-17 19:21:00+00:00
1758136980000,0.0933,0.0933,0.0933,9,0.0933,9593,0.0933,2025-09-17 19:23:00+00:00
1758137040000,0.0933,0.0933,0.0932,24,0.0932,14906,0.093279,2025-09-17 19:24:00+00:00
1758137100000,0.0933,0.0933,0.0932,11,0.0933,27632,0.093292,2025-09-17 19:25:00+00:00
1758137160000,0.0933,0.0933,0.0932,20,0.0932,11800,0.09327,2025-09-17 19:26:00+00:00
1758137280000,0.0933,0.0933,0.0932,7,0.0932,4037,0.093269,2025-09-17 19:28:00+00:00
1758137340000,0.0933,0.0933,0.0932,3,0.0932,2800,0.093293,2025-09-17 19:29:00+00:00
1758137400000,0.0932,0.0933,0.0932,4,0.0933,12660,0.093299,2025-09-17 19:30:00+00:00
1758137460000,0.0933,0.0933,0.0932,5,0.0933,1451,0.093279,2025-09-17 19:31:00+00:00
1758137520000,0.093,0.0933,0.093,16,0.0933,14389,0.0932,2025-09-17 19:32:00+00:00
1758137580000,0.0927,0.0928,0.0927,7,0.0927,4506,0.09278,2025-09-17 19:33:00+00:00
1758137640000,0.0927,0.0928,0.0927,7,0.0927,2910,0.092759,2025-09-17 19:34:00+00:00
1758137700000,0.0927,0.0928,0.0927,36,0.0928,29893,0.092785,2025-09-17 19:35:00+00:00
1758137760000,0.0928,0.0928,0.0927,14,0.0927,4840,0.092749,2025-09-17 19:36:00+00:00
1758137820000,0.0928,0.0928,0.0928,2,0.0928,9539,0.0928,2025-09-17 19:37:00+00:00
1758137880000,0.0919,0.0927,0.0919,58,0.0927,104247,0.092637,2025-09-17 19:38:00+00:00
1758137940000,0.092,0.092,0.0919,12,0.092,4842,0.091985,2025-09-17 19:39:00+00:00
1758138000000,0.092,0.092,0.0919,13,0.092,15150,0.091981,2025-09-17 19:40:00+00:00
1758138060000,0.0921,0.0921,0.0919,49,0.092,28712,0.09198,2025-09-17 19:41:00+00:00
1758138120000,0.0935,0.0935,0.0922,33,0.0922,28277,0.092843,2025-09-17 19:42:00+00:00
1758138180000,0.0928,0.0933,0.0925,30,0.0933,15375,0.092869,2025-09-17 19:43:00+00:00
1758138240000,0.0932,0.0945,0.0924,73,0.093,33454,0.093672,2025-09-17 19:44:00+00:00
1758138300000,0.0942,0.0943,0.093,60,0.0938,27759,0.094007,2025-09-17 19:45:00+00:00
1758138360000,0.0943,0.0955,0.0942,39,0.0955,31101,0.09447,2025-09-17 19:46:00+00:00
1758138420000,0.0928,0.0953,0.0928,33,0.0942,35184,0.094542,2025-09-17 19:47:00+00:00
1758138480000,0.097,0.097,0.0927,58,0.0928,24416,0.094468,2025-09-17 19:48:00+00:00
1758138540000,0.0951,0.096,0.0937,93,0.0941,53618,0.094706,2025-09-17 19:49:00+00:00
1758138600000,0.0963,0.0963,0.0946,67,0.096,42354,0.095515,2025-09-17 19:50:00+00:00
1758138660000,0.0943,0.0961,0.0943,38,0.096,28380,0.095758,2025-09-17 19:51:00+00:00
1758138720000,0.0944,0.0961,0.0944,44,0.0947,41593,0.095879,2025-09-17 19:52:00+00:00
1758138780000,0.0946,0.0946,0.0943,18,0.0943,10928,0.094346,2025-09-17 19:53:00+00:00
1758138840000,0.0956,0.0956,0.0942,36,0.0942,13604,0.095167,2025-09-17 19:54:00+00:00
1758138900000,0.0954,0.096,0.0942,41,0.0956,43165,0.094845,2025-09-17 19:55:00+00:00
1758138960000,0.095,0.0953,0.0948,41,0.0953,59704,0.094873,2025-09-17 19:56:00+00:00
1758139020000,0.0979,0.104,0.095,148,0.095,148272,0.096665,2025-09-17 19:57:00+00:00
1758139080000,0.0942,0.0979,0.0942,77,0.097,134478,0.096233,2025-09-17 19:58:00+00:00
1758139140000,0.0993,0.0994,0.0941,93,0.0941,63795,0.096265,2025-09-17 19:59:00+00:00
1758139200000,0.0927,0.0927,0.0927,2,0.0927,8030,0.0927,2025-09-17 20:00:00+00:00
1758202200000,0.0964,0.0996,0.0964,101,0.0996,227343,0.099017,2025-09-18 13:30:00+00:00
1758202260000,0.0963,0.0969,0.0962,106,0.0965,99355,0.096391,2025-09-18 13:31:00+00:00
1758202320000,0.0952,0.0963,0.0952,107,0.0963,65442,0.095673,2025-09-18 13:32:00+00:00
1758202380000,0.0967,0.098,0.095,205,0.0952,156465,0.095828,2025-09-18 13:33:00+00:00
1758202440000,0.0963,0.0971,0.0953,125,0.0965,54655,0.095923,2025-09-18 13:34:00+00:00
1758202500000,0.0963,0.0967,0.0961,145,0.0963,89150,0.096258,2025-09-18 13:35:00+00:00
1758202560000,0.0965,0.0984,0.0962,266,0.0963,221230,0.096746,2025-09-18 13:36:00+00:00
1758202620000,0.0963,0.0969,0.0962,119,0.0966,96719,0.096417,2025-09-18 13:37:00+00:00
1758202680000,0.0965,0.0992,0.0964,175,0.0964,145170,0.096977,2025-09-18 13:38:00+00:00
1758202740000,0.0963,0.0966,0.0963,91,0.0965,182222,0.09648,2025-09-18 13:39:00+00:00
1758202800000,0.097,0.0992,0.0963,402,0.0963,282570,0.097355,2025-09-18 13:40:00+00:00
1758202860000,0.0981,0.0993,0.0964,379,0.0972,371079,0.097665,2025-09-18 13:41:00+00:00
1758202920000,0.0987,0.0995,0.098,88,0.0995,150390,0.098761,2025-09-18 13:42:00+00:00
1758202980000,0.0982,0.0987,0.098,75,0.0985,217296,0.098171,2025-09-18 13:43:00+00:00
1758203040000,0.0989,0.0993,0.0981,56,0.0981,48196,0.098704,2025-09-18 13:44:00+00:00
1758203100000,0.1018,0.1022,0.0985,215,0.0989,315596,0.100149,2025-09-18 13:45:00+00:00
1758203160000,0.1016,0.1018,0.1,152,0.1018,231548,0.101416,2025-09-18 13:46:00+00:00
1758203220000,0.1022,0.1024,0.1014,83,0.1015,137704,0.101779,2025-09-18 13:47:00+00:00
1758203280000,0.1033,0.1034,0.1019,183,0.1021,356030,0.102265,2025-09-18 13:48:00+00:00
1758203340000,0.1034,0.1035,0.1031,108,0.1033,197602,0.103365,2025-09-18 13:49:00+00:00
1758203400000,0.1033,0.1057,0.1033,267,0.1034,492290,0.103995,2025-09-18 13:50:00+00:00
1758203460000,0.1033,0.1047,0.1033,149,0.1033,296481,0.103685,2025-09-18 13:51:00+00:00
1758203520000,0.102,0.1033,0.102,67,0.1033,49933,0.102827,2025-09-18 13:52:00+00:00
1758203580000,0.0995,0.102,0.099,187,0.102,180020,0.100198,2025-09-18 13:53:00+00:00
1758203640000,0.1,0.1009,0.0993,119,0.0994,127861,0.09986,2025-09-18 13:54:00+00:00
1758203700000,0.0998,0.1,0.0996,72,0.0996,91117,0.099862,2025-09-18 13:55:00+00:00
1758203760000,0.0996,0.1,0.0996,40,0.0999,12771,0.099856,2025-09-18 13:56:00+00:00
1758203820000,0.0997,0.0999,0.0995,28,0.0999,21417,0.099676,2025-09-18 13:57:00+00:00
1758203880000,0.1009,0.1023,0.0995,142,0.0996,376412,0.100096,2025-09-18 13:58:00+00:00
1758203940000,0.1006,0.1023,0.1005,76,0.1009,106178,0.10133,2025-09-18 13:59:00+00:00
1758204000000,0.1,0.1014,0.0981,166,0.1007,259793,0.099286,2025-09-18 14:00:00+00:00
1758204060000,0.0992,0.0999,0.0981,39,0.0999,32408,0.099307,2025-09-18 14:01:00+00:00
1758204120000,0.0993,0.0997,0.099,20,0.0997,9603,0.099345,2025-09-18 14:02:00+00:00
1758204180000,0.0993,0.0993,0.0992,7,0.0992,3304,0.099262,2025-09-18 14:03:00+00:00
1758204240000,0.0985,0.0993,0.0985,55,0.0993,66071,0.098803,2025-09-18 14:04:00+00:00
1758204300000,0.0991,0.0991,0.0985,20,0.0985,12179,0.098818,2025-09-18 14:05:00+00:00
1758204360000,0.0995,0.0995,0.0986,70,0.0986,170791,0.099287,2025-09-18 14:06:00+00:00
1758204420000,0.0991,0.0993,0.0988,27,0.0992,35208,0.099175,2025-09-18 14:07:00+00:00
1758204480000,0.1004,0.1004,0.099,65,0.0992,113928,0.099621,2025-09-18 14:08:00+00:00
1758204540000,0.1003,0.1004,0.1,22,0.1004,15952,0.100238,2025-09-18 14:09:00+00:00
1758204600000,0.1004,0.1008,0.1,46,0.1,68488,0.100332,2025-09-18 14:10:00+00:00
1758204660000,0.1001,0.1006,0.1,38,0.1006,26151,0.100268,2025-09-18 14:11:00+00:00
1758204720000,0.0998,0.1,0.0995,16,0.1,32108,0.099802,2025-09-18 14:12:00+00:00
1758204780000,0.0998,0.0998,0.0995,23,0.0995,34578,0.099575,2025-09-18 14:13:00+00:00
1758204840000,0.0998,0.0998,0.0988,26,0.0995,30263,0.099253,2025-09-18 14:14:00+00:00
1758204900000,0.0989,0.0993,0.0988,13,0.0993,3148,0.099083,2025-09-18 14:15:00+00:00
1758204960000,0.0993,0.0993,0.0989,13,0.0989,33662,0.099251,2025-09-18 14:16:00+00:00
1758205020000,0.0998,0.0998,0.0993,11,0.0993,10692,0.099739,2025-09-18 14:17:00+00:00
1758205080000,0.0997,0.0998,0.0995,17,0.0995,55967,0.099793,2025-09-18 14:18:00+00:00
1758205140000,0.0996,0.1003,0.0995,66,0.0995,113894,0.099769,2025-09-18 14:19:00+00:00
1758205200000,0.0995,0.0996,0.0995,16,0.0995,7510,0.099577,2025-09-18 14:20:00+00:00
1758205260000,0.0995,0.0996,0.0995,12,0.0995,8507,0.099529,2025-09-18 14:21:00+00:00
1758205320000,0.0995,0.0996,0.0992,39,0.0995,50704,0.099395,2025-09-18 14:22:00+00:00
1758205380000,0.0993,0.0995,0.0993,33,0.0994,23518,0.099425,2025-09-18 14:23:00+00:00
1758205440000,0.0993,0.0993,0.0993,10,0.0993,6260,0.0993,2025-09-18 14:24:00+00:00
1758205500000,0.0994,0.0995,0.0993,30,0.0993,20714,0.099395,2025-09-18 14:25:00+00:00
1758205560000,0.0994,0.0994,0.0993,17,0.0993,20080,0.099346,2025-09-18 14:26:00+00:00
1758205620000,0.0994,0.0994,0.0993,7,0.0993,5957,0.099333,2025-09-18 14:27:00+00:00
1758205680000,0.0991,0.0994,0.0988,49,0.0993,58846,0.099192,2025-09-18 14:28:00+00:00
1758205740000,0.0992,0.0992,0.0992,7,0.0992,3145,0.0992,2025-09-18 14:29:00+00:00
1758205800000,0.0988,0.0991,0.0988,18,0.0991,14949,0.098902,2025-09-18 14:30:00+00:00
1758205860000,0.0988,0.0992,0.0988,21,0.0988,28668,0.098918,2025-09-18 14:31:00+00:00
1758205920000,0.0989,0.099,0.0988,8,0.0988,5859,0.098848,2025-09-18 14:32:00+00:00
1758205980000,0.0989,0.099,0.0989,12,0.099,5742,0.098995,2025-09-18 14:33:00+00:00
1758206040000,0.0988,0.099,0.0988,21,0.0988,14906,0.098803,2025-09-18 14:34:00+00:00
1758206100000,0.0981,0.0989,0.098,61,0.0989,95523,0.098215,2025-09-18 14:35:00+00:00
1758206160000,0.0982,0.0984,0.098,61,0.0981,48453,0.098157,2025-09-18 14:36:00+00:00
1758206220000,0.0966,0.0982,0.0964,60,0.0982,93840,0.097783,2025-09-18 14:37:00+00:00
1758206280000,0.0955,0.0968,0.0955,144,0.0966,194368,0.096063,2025-09-18 14:38:00+00:00
1758206340000,0.0955,0.0964,0.095,113,0.0955,146292,0.095414,2025-09-18 14:39:00+00:00
1758206400000,0.0959,0.096,0.0955,59,0.0956,31813,0.095782,2025-09-18 14:40:00+00:00
1758206460000,0.0958,0.0958,0.0957,48,0.0958,44698,0.095787,2025-09-18 14:41:00+00:00
1758206520000,0.0943,0.0958,0.0942,132,0.0958,202785,0.094843,2025-09-18 14:42:00+00:00
1758206580000,0.0956,0.0958,0.0942,80,0.0942,128097,0.094596,2025-09-18 14:43:00+00:00
1758206640000,0.097,0.097,0.0951,77,0.0957,68648,0.096208,2025-09-18 14:44:00+00:00
1758206700000,0.0963,0.097,0.0963,32,0.0967,25511,0.096489,2025-09-18 14:45:00+00:00
1758206760000,0.0958,0.0963,0.0958,16,0.0963,4187,0.096225,2025-09-18 14:46:00+00:00
1758206820000,0.0963,0.0964,0.0957,54,0.0958,60320,0.096144,2025-09-18 14:47:00+00:00
1758206880000,0.0953,0.0963,0.0952,34,0.0963,13329,0.095782,2025-09-18 14:48:00+00:00
1758206940000,0.0953,0.0955,0.0953,18,0.0955,4737,0.095398,2025-09-18 14:49:00+00:00
1758207000000,0.0957,0.0959,0.0953,59,0.0955,30989,0.095489,2025-09-18 14:50:00+00:00
1758207060000,0.0963,0.0963,0.0957,8,0.0957,3266,0.096171,2025-09-18 14:51:00+00:00
1758207120000,0.0958,0.0961,0.0957,24,0.0961,74109,0.095812,2025-09-18 14:52:00+00:00
1758207180000,0.0958,0.0963,0.0957,40,0.0958,13545,0.09588,2025-09-18 14:53:00+00:00
1758207240000,0.096,0.096,0.0958,26,0.0959,28523,0.095974,2025-09-18 14:54:00+00:00
1758207300000,0.0977,0.0977,0.0958,101,0.0959,121556,0.096816,2025-09-18 14:55:00+00:00
1758207360000,0.0973,0.0978,0.0966,44,0.0977,55033,0.09751,2025-09-18 14:56:00+00:00
1758207420000,0.0978,0.0978,0.0974,7,0.0975,1142,0.097645,2025-09-18 14:57:00+00:00
1758207480000,0.0974,0.0977,0.0962,50,0.0977,13975,0.097123,2025-09-18 14:58:00+00:00
1758207540000,0.0974,0.0976,0.097,16,0.0976,22032,0.097374,2025-09-18 14:59:00+00:00
1758207600000,0.0964,0.0965,0.0961,22,0.0965,7007,0.096361,2025-09-18 15:00:00+00:00
1758207660000,0.0989,0.0989,0.0964,41,0.0964,70894,0.097995,2025-09-18 15:01:00+00:00
1758207720000,0.0971,0.0985,0.0965,72,0.097,53505,0.097439,2025-09-18 15:02:00+00:00
1758207780000,0.1,0.1,0.0965,101,0.0969,154445,0.098667,2025-09-18 15:03:00+00:00
1758207840000,0.0977,0.0997,0.0977,14,0.0997,13601,0.098238,2025-09-18 15:04:00+00:00
1758207900000,0.0974,0.0979,0.0974,16,0.0979,6417,0.097528,2025-09-18 15:05:00+00:00
1758207960000,0.0972,0.0974,0.0969,42,0.0969,8239,0.097006,2025-09-18 15:06:00+00:00
1758208020000,0.0973,0.0973,0.0972,11,0.0973,13776,0.097291,2025-09-18 15:07:00+00:00
1758208080000,0.097,0.0975,0.0969,45,0.0973,42283,0.09723,2025-09-18 15:08:00+00:00
1758208140000,0.0965,0.0968,0.0964,21,0.0968,10894,0.096526,2025-09-18 15:09:00+00:00
1758208200000,0.0965,0.0969,0.0964,50,0.0964,48364,0.096514,2025-09-18 15:10:00+00:00
1758208260000,0.097,0.0974,0.0965,55,0.0966,38487,0.097076,2025-09-18 15:11:00+00:00
1758208320000,0.0958,0.0972,0.0957,49,0.097,44377,0.096881,2025-09-18 15:12:00+00:00
1758208380000,0.0963,0.0963,0.0949,100,0.0957,159181,0.095268,2025-09-18 15:13:00+00:00
1758208440000,0.095,0.0963,0.095,40,0.0959,29666,0.09534,2025-09-18 15:14:00+00:00
1758208500000,0.095,0.095,0.0947,37,0.095,93337,0.094808,2025-09-18 15:15:00+00:00
1758208560000,0.0949,0.095,0.0948,10,0.0949,13099,0.09489,2025-09-18 15:16:00+00:00
1758208620000,0.0947,0.0948,0.0947,20,0.0948,32607,0.094795,2025-09-18 15:17:00+00:00
1758208680000,0.0945,0.0947,0.0943,33,0.0946,16861,0.094446,2025-09-18 15:18:00+00:00
1758208740000,0.0949,0.0949,0.0945,15,0.0947,12800,0.094565,2025-09-18 15:19:00+00:00
1758208800000,0.0943,0.0947,0.0942,40,0.0947,15626,0.094469,2025-09-18 15:20:00+00:00
1758208860000,0.0943,0.0944,0.0942,34,0.0943,14395,0.094294,2025-09-18 15:21:00+00:00
1758208920000,0.0944,0.0952,0.0942,24,0.0942,10339,0.094511,2025-09-18 15:22:00+00:00
1758208980000,0.0945,0.0946,0.0945,15,0.0946,23321,0.094511,2025-09-18 15:23:00+00:00
1758209040000,0.0948,0.0963,0.0945,69,0.0945,154287,0.094942,2025-09-18 15:24:00+00:00
1758209100000,0.0954,0.0958,0.0946,97,0.0949,70933,0.095024,2025-09-18 15:25:00+00:00
1758209160000,0.0952,0.0957,0.0949,19,0.0957,11054,0.095484,2025-09-18 15:26:00+00:00
1758209220000,0.0952,0.0954,0.0952,3,0.0954,1102,0.095382,2025-09-18 15:27:00+00:00
1758209280000,0.0952,0.0953,0.0951,23,0.0952,14322,0.095205,2025-09-18 15:28:00+00:00
1758209340000,0.0952,0.0953,0.0952,7,0.0953,1941,0.095214,2025-09-18 15:29:00+00:00
1758209400000,0.0948,0.0953,0.0948,72,0.0952,30674,0.09515,2025-09-18 15:30:00+00:00
1758209460000,0.0948,0.0948,0.0945,18,0.0948,3716,0.094688,2025-09-18 15:31:00+00:00
1758209520000,0.095,0.0952,0.0946,13,0.0946,7081,0.094958,2025-09-18 15:32:00+00:00
1758209580000,0.0947,0.095,0.0947,7,0.095,825,0.094963,2025-09-18 15:33:00+00:00
1758209700000,0.0947,0.0947,0.0946,7,0.0946,24868,0.094686,2025-09-18 15:35:00+00:00
1758209760000,0.0941,0.0947,0.094,58,0.0947,44565,0.094234,2025-09-18 15:36:00+00:00
1758209820000,0.094,0.0941,0.094,39,0.094,16267,0.094069,2025-09-18 15:37:00+00:00
1758209880000,0.0941,0.0941,0.094,43,0.0941,137815,0.094009,2025-09-18 15:38:00+00:00
1758209940000,0.094,0.0941,0.094,9,0.094,9640,0.094021,2025-09-18 15:39:00+00:00
1758210000000,0.094,0.0941,0.094,23,0.094,32233,0.094001,2025-09-18 15:40:00+00:00
1758210060000,0.0945,0.0945,0.094,47,0.094,27306,0.094185,2025-09-18 15:41:00+00:00
1758210120000,0.0945,0.0946,0.0943,22,0.0944,94426,0.094561,2025-09-18 15:42:00+00:00
1758210180000,0.0944,0.0945,0.0943,67,0.0944,107822,0.094411,2025-09-18 15:43:00+00:00
1758210240000,0.095,0.0956,0.0944,23,0.0945,11200,0.094949,2025-09-18 15:44:00+00:00
1758210300000,0.0951,0.0953,0.095,8,0.0953,1337,0.09511,2025-09-18 15:45:00+00:00
1758210360000,0.095,0.0957,0.0945,34,0.095,54651,0.094744,2025-09-18 15:46:00+00:00
1758210420000,0.095,0.0951,0.095,7,0.095,14198,0.09508,2025-09-18 15:47:00+00:00
1758210480000,0.095,0.0951,0.095,13,0.0951,6643,0.095072,2025-09-18 15:48:00+00:00
1758210540000,0.095,0.0951,0.095,40,0.095,12848,0.095071,2025-09-18 15:49:00+00:00
1758210600000,0.095,0.0951,0.095,5,0.0951,4650,0.095002,2025-09-18 15:50:00+00:00
1758210660000,0.095,0.0951,0.095,12,0.095,7260,0.095071,2025-09-18 15:51:00+00:00
1758210720000,0.0952,0.0955,0.0951,41,0.0951,13912,0.095115,2025-09-18 15:52:00+00:00
1758210780000,0.0946,0.0957,0.0946,27,0.0957,80937,0.094814,2025-09-18 15:53:00+00:00
1758210840000,0.0945,0.0945,0.0945,7,0.0945,2302,0.0945,2025-09-18 15:54:00+00:00
1758210900000,0.0946,0.0946,0.0945,8,0.0946,2604,0.094547,2025-09-18 15:55:00+00:00
1758210960000,0.0945,0.0946,0.0945,19,0.0946,9289,0.094514,2025-09-18 15:56:00+00:00
1758211020000,0.0946,0.0946,0.0945,7,0.0945,2971,0.094531,2025-09-18 15:57:00+00:00
1758211080000,0.0945,0.0946,0.0945,7,0.0946,13000,0.094592,2025-09-18 15:58:00+00:00
1758211140000,0.0945,0.0945,0.0945,6,0.0945,10000,0.0945,2025-09-18 15:59:00+00:00
1758211200000,0.0945,0.0946,0.0945,4,0.0945,1300,0.094585,2025-09-18 16:00:00+00:00
1758211260000,0.0961,0.0961,0.0945,65,0.0945,115598,0.095533,2025-09-18 16:01:00+00:00
1758211320000,0.0947,0.0947,0.0946,4,0.0947,4534,0.094696,2025-09-18 16:02:00+00:00
1758211380000,0.095,0.0953,0.0946,32,0.0946,35286,0.095052,2025-09-18 16:03:00+00:00
1758211440000,0.0951,0.0951,0.095,11,0.0951,13408,0.095096,2025-09-18 16:04:00+00:00
1758211500000,0.0951,0.0951,0.0951,4,0.0951,1029,0.0951,2025-09-18 16:05:00+00:00
1758211560000,0.095,0.095,0.095,3,0.095,228,0.095,2025-09-18 16:06:00+00:00
1758211620000,0.095,0.095,0.095,6,0.095,1247,0.095,2025-09-18 16:07:00+00:00
1758211680000,0.095,0.095,0.095,1,0.095,200,0.095,2025-09-18 16:08:00+00:00
1758211740000,0.095,0.0951,0.095,10,0.0951,5000,0.09502,2025-09-18 16:09:00+00:00
1758211800000,0.095,0.0951,0.095,3,0.0951,354,0.095036,2025-09-18 16:10:00+00:00
1758211860000,0.0959,0.0984,0.095,146,0.095,182065,0.096214,2025-09-18 16:11:00+00:00
1758211920000,0.095,0.0957,0.095,60,0.0954,32066,0.095217,2025-09-18 16:12:00+00:00
1758211980000,0.0951,0.0954,0.0951,19,0.0952,8300,0.09516,2025-09-18 16:13:00+00:00
1758212040000,0.0952,0.0952,0.0951,7,0.0951,1272,0.095108,2025-09-18 16:14:00+00:00
1758212100000,0.0952,0.0952,0.0951,8,0.0951,35559,0.095101,2025-09-18 16:15:00+00:00
1758212160000,0.0952,0.0955,0.0951,51,0.0951,45223,0.095242,2025-09-18 16:16:00+00:00
1758212220000,0.0955,0.0955,0.0952,24,0.0954,62810,0.095443,2025-09-18 16:17:00+00:00
1758212280000,0.0953,0.0955,0.0953,24,0.0955,8799,0.095324,2025-09-18 16:18:00+00:00
1758212340000,0.0952,0.0952,0.0952,1,0.0952,200,0.0952,2025-09-18 16:19:00+00:00
1758212400000,0.0952,0.0953,0.0952,5,0.0952,12976,0.095239,2025-09-18 16:20:00+00:00
1758212460000,0.0952,0.0952,0.0952,1,0.0952,200,0.0952,2025-09-18 16:21:00+00:00
1758212520000,0.0953,0.0953,0.0952,45,0.0952,28377,0.095294,2025-09-18 16:22:00+00:00
1758212580000,0.0952,0.0953,0.0952,5,0.0953,8605,0.095206,2025-09-18 16:23:00+00:00
1758212640000,0.0952,0.0953,0.0952,7,0.0952,14345,0.09527,2025-09-18 16:24:00+00:00
1758212700000,0.0953,0.0953,0.0952,9,0.0952,15430,0.095269,2025-09-18 16:25:00+00:00
1758212760000,0.0956,0.0977,0.0953,68,0.0953,65046,0.09631,2025-09-18 16:26:00+00:00
1758212820000,0.0956,0.0956,0.0955,21,0.0955,11003,0.095549,2025-09-18 16:27:00+00:00
1758212880000,0.0955,0.0956,0.0955,17,0.0955,2796,0.095536,2025-09-18 16:28:00+00:00
1758212940000,0.0955,0.0956,0.0955,20,0.0955,24992,0.095542,2025-09-18 16:29:00+00:00
1758213000000,0.0955,0.0956,0.0955,21,0.0956,39928,0.09558,2025-09-18 16:30:00+00:00
1758213060000,0.0961,0.097,0.0955,102,0.0956,38777,0.095765,2025-09-18 16:31:00+00:00
1758213120000,0.097,0.0972,0.096,47,0.0962,42432,0.096659,2025-09-18 16:32:00+00:00
1758213180000,0.0965,0.0969,0.0959,37,0.0969,23883,0.096517,2025-09-18 16:33:00+00:00
1758213240000,0.0969,0.0986,0.0964,51,0.0966,20846,0.097414,2025-09-18 16:34:00+00:00
1758213300000,0.0982,0.1001,0.097,104,0.097,109735,0.099274,2025-09-18 16:35:00+00:00
1758213360000,0.0979,0.0983,0.0978,89,0.0982,52225,0.0981,2025-09-18 16:36:00+00:00
1758213420000,0.0968,0.0981,0.0968,50,0.098,28092,0.097246,2025-09-18 16:37:00+00:00
1758213480000,0.0969,0.0969,0.0968,12,0.0969,9583,0.096875,2025-09-18 16:38:00+00:00
1758213540000,0.0977,0.0978,0.0968,61,0.0969,23744,0.097281,2025-09-18 16:39:00+00:00
1758213600000,0.0979,0.0979,0.0975,41,0.0977,41935,0.097769,2025-09-18 16:40:00+00:00
1758213660000,0.0979,0.0979,0.0978,12,0.0978,6526,0.097877,2025-09-18 16:41:00+00:00
1758213720000,0.0979,0.0979,0.0978,2,0.0978,487,0.097838,2025-09-18 16:42:00+00:00
1758213780000,0.0984,0.0985,0.0978,40,0.0979,32666,0.097955,2025-09-18 16:43:00+00:00
1758213840000,0.0997,0.0997,0.0982,27,0.0982,7410,0.099192,2025-09-18 16:44:00+00:00
1758213900000,0.0986,0.0993,0.0986,13,0.0993,14324,0.099156,2025-09-18 16:45:00+00:00
1758213960000,0.0973,0.0988,0.0969,17,0.0988,12678,0.097542,2025-09-18 16:46:00+00:00
1758214020000,0.0982,0.0982,0.0973,63,0.0974,27900,0.097632,2025-09-18 16:47:00+00:00
1758214080000,0.0985,0.0986,0.0981,24,0.0984,11537,0.098428,2025-09-18 16:48:00+00:00
1758214140000,0.0981,0.0984,0.0981,26,0.0984,10857,0.098231,2025-09-18 16:49:00+00:00
1758214200000,0.0981,0.0982,0.0981,40,0.0982,25637,0.098124,2025-09-18 16:50:00+00:00
1758214260000,0.0982,0.0982,0.0981,6,0.0981,12941,0.098113,2025-09-18 16:51:00+00:00
1758214320000,0.0969,0.0982,0.0966,69,0.0982,122707,0.097481,2025-09-18 16:52:00+00:00
1758214380000,0.097,0.0971,0.0969,52,0.0969,16176,0.097004,2025-09-18 16:53:00+00:00
1758214440000,0.097,0.0971,0.097,26,0.097,14086,0.097089,2025-09-18 16:54:00+00:00
1758214500000,0.0971,0.0972,0.097,39,0.097,18083,0.097096,2025-09-18 16:55:00+00:00
1758214560000,0.0971,0.0971,0.097,33,0.0971,11172,0.097097,2025-09-18 16:56:00+00:00
1758214620000,0.0971,0.0971,0.097,2,0.097,706,0.097086,2025-09-18 16:57:00+00:00
1758214680000,0.097,0.097,0.0969,12,0.097,8376,0.096999,2025-09-18 16:58:00+00:00
1758214740000,0.097,0.0972,0.0969,30,0.097,15812,0.097005,2025-09-18 16:59:00+00:00
1758214800000,0.0969,0.0969,0.0969,5,0.0969,364,0.0969,2025-09-18 17:00:00+00:00
